task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	env	workdir	scratch	error_action	hardware_type	revision	threads	clusmethod	corrmethod	preout	postout	bsize	gsize	lsize	np	dataset	trial	n_rows	n_cols
405	5c/edda05	625490.pbs02	run_experiment		run_experiment (405)	COMPLETED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602394378612	1602394415787	1602394425774	47162	12466		226.6	0.2	714571776.0	30921920512.0	714571776.0	31004176384.0	18076681.0	38077989.0	13550.0	998051.0	667563.0	35399910.0	4212.0	324.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/5c/edda053c1174a32653a00d0beb2a21			v100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	16	Yeast.005	2	3526	94
135	66/390e10	619818.pbs02	run_experiment		run_experiment (135)	COMPLETED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602288688140	1602394450668	1602394470673	105782533	18805		242.2	0.2	720007168.0	30960189440.0	720084992.0	31103950848.0	18688273.0	61373690.0	13579.0	1478662.0	28587.0	58686505.0	4250.0	375.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/66/390e10ccf1ec0978baf9be8839c65a			v100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	16	Yeast.006	2	4231	112
411	1b/439313	625496.pbs02	run_experiment		run_experiment (411)	COMPLETED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602394473682	1602394480785	1602394490792	17110	10958		158.8	0.3	449970176.0	34733154304.0	473669632.0	34872729600.0	15986709.0	6205864.0	10187.0	154962.0	278434.0	3947391.0	1382.0	255.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/1b/43931352230b8b2f36fd8ef53b042f			p100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	2	Yeast.002	0	1411	37
413	62/12d4e6	625497.pbs02	run_experiment		run_experiment (413)	COMPLETED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602394493632	1602394510786	1602394521562	27930	7682		137.6	0.3	457912320.0	34806411264.0	479735808.0	35000123392.0	15991173.0	6255804.0	10220.0	155001.0	28578.0	3947391.0	1478.0	134.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/62/12d4e648895719959306890fa15a24			p100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	4	Yeast.002	0	1411	37
144	73/6cd810	620690.pbs02	run_experiment		run_experiment (144)	COMPLETED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602295121058	1602394480670	1602394761475	99640417	279015		199.5	0.4	572256256.0	34949005312.0	587427840.0	35083055104.0	21406056.0	293603805.0	10891.0	4995084.0	32683.0	290993401.0	61151.0	4957.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/73/6cd8109e806f8c5859268ef11a8bfe			p100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	16	Yeast.010	0	7051	188
415	6f/28c5df	625498.pbs02	run_experiment		run_experiment (415)	COMPLETED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602394524453	1602394770831	1602394775825	251372	7322		127.8	0.3	470237184.0	34821177344.0	491941888.0	34946052096.0	16016834.0	6545303.0	10463.0	155234.0	28587.0	3947391.0	1681.0	134.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/6f/28c5dfba1edb82a6797d64f6ec54a6			p100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	16	Yeast.002	0	1411	37
414	3f/c34f7d	625504.pbs02	run_experiment		run_experiment (414)	COMPLETED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602394764765	1602394780821	1602394790824	26059	7202		128.3	0.3	458301440.0	34807783424.0	481026048.0	35000393728.0	16000146.0	6347922.0	10310.0	155082.0	28578.0	3947391.0	1191.0	125.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/3f/c34f7dc9b3ec09c2f844a845536a2d			p100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	8	Yeast.002	0	1411	37
417	96/135313	625505.pbs02	run_experiment		run_experiment (417)	COMPLETED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602394778775	1602394785832	1602394790838	12063	5707		147.2	0.2	690790400.0	30663155712.0	691097600.0	30797824000.0	16814860.0	6267836.0	13097.0	155433.0	24317858.0	3976063.0	3490.0	38.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/96/135313dad674bc7f2514847e742e1f			v100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	2	Yeast.002	0	1411	37
418	c9/fd63bd	625506.pbs02	run_experiment		run_experiment (418)	COMPLETED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602394793685	1602394800817	1602394805813	12128	4855		123.7	0.2	705970176.0	30747860992.0	706363392.0	30815498240.0	16821086.0	6327045.0	13151.0	155503.0	28578.0	3976063.0	4369.0	41.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/c9/fd63bd227d96bbc09dba18e9495303			v100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	4	Yeast.002	0	1411	37
420	d4/7e6fdf	625507.pbs02	run_experiment		run_experiment (420)	COMPLETED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602394796517	1602394800825	1602394805826	9309	4803		96.2	0.2	712310784.0	30755536896.0	712310784.0	30810247168.0	16851104.0	6632512.0	13419.0	155876.0	274347.0	3976063.0	5234.0	44.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/d4/7e6fdf2b5c7e9226aacecc0aa1cff4			v100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	16	Yeast.002	0	1411	37
