task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	fastq_lines	sample_id
3113	3393488.pbs02	fastqc_1	SRX386471	fastqc_1 (SRX386471)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629995687938	1629995700654	1629995973954	286016	268134		31.2	0.6	200384512.0	2743812096.0	200384512.0	2771034112.0	11514858239.0	3835463551.0	715491.0	14285.0	7699359116.0	2780372.0	432770.0	107.0	/scratch1/btsheal/work/9f/c5035d5a2dbacd6b56bc4a23d65912			67761464	SRX386471
9683	3402987.pbs02	fastqc_1	SRX3060202	fastqc_1 (SRX3060202)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630020689484	1630020699056	1630020784469	94985	82824		43.1	0.5	186314752.0	2741714944.0	186314752.0	2771034112.0	3675600360.0	1222057216.0	231812.0	8743.0	2473263203.0	2364637.0	112518.0	157.0	/scratch1/btsheal/work/9f/f60e1063d6e7bc70120810b0141892			17384324	SRX3060202
9381	3402557.pbs02	fastqc_1	ERX1946696	fastqc_1 (ERX1946696)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630019541304	1630019554832	1630020552298	1010994	995041		31.1	0.7	254152704.0	2743812096.0	254152704.0	2798641152.0	35902420423.0	11966036742.0	2221848.0	35441.0	23957154457.0	4874500.0	1323787.0	108.0	/scratch1/btsheal/work/9f/f9cdc10a600276ebc05955f7d0c470			143793136	ERX1946696
9997	3405111.pbs02	fastqc_1	SRX2640698	fastqc_1 (SRX2640698)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630025426392	1630025443029	1630030965463	5539071	5516661		59.8	0.7	248983552.0	2743812096.0	248983552.0	2771034112.0	391819371837.0	130605160595.0	24171667.0	261864.0	261235086705.0	6861498.0	16277819.0	138.0	/scratch1/btsheal/work/a0/75625302fa1e239f8f69c98d98e86f			1555553928	SRX2640698
5259	3396761.pbs02	fastqc_1	SRX528601	fastqc_1 (SRX528601)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630003844723	1630003859581	1630004206588	361865	343452		42.3	0.6	193826816.0	2741329920.0	193826816.0	2771034112.0	19552147923.0	6514037775.0	1210738.0	18451.0	13057703440.0	2216630.0	746018.0	107.0	/scratch1/btsheal/work/a0/af7adbb7f8be6d4e3c6dd96b57cb21			105369028	SRX528601
7115	3398867.pbs02	fastqc_1	SRX2435526	fastqc_1 (SRX2435526)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630010927615	1630010936517	1630010986489	58874	50484		56.1	0.6	206852096.0	2743812096.0	206946304.0	2771034112.0	2715972999.0	902044259.0	172452.0	7882.0	1833582519.0	2181854.0	69939.0	110.0	/scratch1/btsheal/work/a0/ccd3c8f3062429691c28965784161d			14852352	SRX2435526
7728	3399939.pbs02	fastqc_1	SRX2435650	fastqc_1 (SRX2435650)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630013255777	1630013269015	1630013849840	594063	568537		18.5	0.6	202813440.0	2743812096.0	204005376.0	2771034112.0	13890959180.0	4627070062.0	861663.0	15042.0	9283550271.0	2391918.0	453383.0	107.0	/scratch1/btsheal/work/a0/da3716af45cb20244adbf21e0ae063			75874072	SRX2435650
8297	3401069.pbs02	fastqc_1	SRX1720092	fastqc_1 (SRX1720092)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630015404331	1630015462185	1630015745343	341012	286893		54.7	0.6	217931776.0	2771017728.0	217931776.0	2771034112.0	16595174123.0	5528725379.0	1028714.0	17190.0	11086261011.0	2626561.0	633113.0	107.0	/scratch1/btsheal/work/a1/c46593692f1a5b0a4c47378a2fff8d			55347876	SRX1720092
2178	3392579.pbs02	fastqc_1	SRX2248539	fastqc_1 (SRX2248539)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629992144361	1629992154622	1629992813374	669013	649598		29.7	0.6	199786496.0	2739617792.0	199786496.0	2771034112.0	20233804195.0	6741270301.0	1252780.0	18687.0	13512119295.0	2364219.0	750596.0	110.0	/scratch1/btsheal/work/a4/4af0fb9bfed262dc62661ff091ee70			96078524	SRX2248539
7145	3398911.pbs02	fastqc_1	SRX2488474	fastqc_1 (SRX2488474)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630011043428	1630011057298	1630011803795	760367	740375		29.5	0.8	269680640.0	2743812096.0	269680640.0	2771034112.0	25101939244.0	8366335630.0	1556200.0	29414.0	16756685817.0	5314578.0	881983.0	107.0	/scratch1/btsheal/work/a4/99da4299debe3931cfe7d35e397a63			84695256	SRX2488474
