task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	sample_id	sra_bytes
3254	3393628.pbs02	fastq_dump	SRX2435580	fastq_dump (SRX2435580)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629996240899	1629996261178	1629996316652	75753	65955		66.9	0.2	65536000.0	182632448.0	65544192.0	245157888.0	262938239.0	1779160743.0	2316.0	13692.0	277607272.0	1779158418.0	108344.0	874.0	/scratch1/btsheal/work/92/b455d87d3c85791a6ed1aa0ed548bf			SRX2435580	260409310
1052	3390883.pbs02	fastq_dump	DRX014505	fastq_dump (DRX014505)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629987925393	1629987952556	1629988308459	383066	353912		52.9	0.2	64065536.0	181829632.0	64249856.0	244322304.0	2155996176.0	12359918970.0	12737.0	94418.0	2170665218.0	12359916646.0	809161.0	3124.0	/scratch1/btsheal/work/92/d0d1b9c0ad12fbccf8d3b9356fd266			DRX014505	2.15353e+09
9500	3402682.pbs02	fastq_dump	SRX2006012	fastq_dump (SRX2006012)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630020006022	1630020015038	1630020240514	234492	225283		56.3	0.2	64389120.0	182038528.0	64421888.0	245137408.0	1655669239.0	8568789375.0	8646.0	65494.0	1670338262.0	8568787042.0	580051.0	2616.0	/scratch1/btsheal/work/93/7be60e336dc9d59d4ad2659ef5200c			SRX2006012	1653165865
7430	3399433.pbs02	fastq_dump	SRX4170307	fastq_dump (SRX4170307)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630012093782	1630012107626	1630012153463	59681	38104		24.6	0.2	61042688.0	109563904.0	62627840.0	111165440.0	46903192.0	346793318.0	1411.0	2764.0	61572231.0	346790998.0	27320.0	225.0	/scratch1/btsheal/work/93/a5abbcaaa9c859064c0d2445b60d4e			SRX4170307	44371019
8294	3401041.pbs02	fastq_dump	SRX1074744	fastq_dump (SRX1074744)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630015396265	1630015421836	1630016124210	727945	700017		55.0	0.2	63819776.0	181190656.0	64724992.0	243601408.0	5032187682.0	25670981809.0	23556.0	195974.0	5046860808.0	25670979478.0	1712021.0	6817.0	/scratch1/btsheal/work/94/7c222b7ed62e068f99b3422573b0f8			SRX1074744	5.02974e+09
4123	3395078.pbs02	fastq_dump	SRX021356	fastq_dump (SRX021356)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629999565981	1629999576613	1629999641848	75867	60264		53.6	0.2	80519168.0	196501504.0	80519168.0	255078400.0	137498571.0	1189279200.0	1636.0	9192.0	152167596.0	1189276882.0	71893.0	588.0	/scratch1/btsheal/work/94/9d0bb2913c417efa62245398a966d3			SRX021356	134976463
2824	3393222.pbs02	fastq_dump	SRX2551014	fastq_dump (SRX2551014)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629994595864	1629994607216	1629995341904	746040	726914		37.9	0.2	65630208.0	183197696.0	66383872.0	243740672.0	1806258079.0	17913473808.0	22152.0	136890.0	1819312681.0	17913469438.0	427716.0	3320.0	/scratch1/btsheal/work/95/338c0ea0403302505848ba83765f30			SRX2551014	1802249850
3994	3394887.pbs02	fastq_dump	SRX424581	fastq_dump (SRX424581)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629999062723	1629999076792	1629999727269	664546	647716		44.0	0.2	74989568.0	192729088.0	75452416.0	251265024.0	3053308278.0	17955534620.0	10326.0	137108.0	3067977288.0	17955532286.0	885386.0	4480.0	/scratch1/btsheal/work/95/8889db4c1dbf95fb50bb89fd8db9ff			SRX424581	3.05081e+09
1637	3391479.pbs02	fastq_dump	SRX2899201	fastq_dump (SRX2899201)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629990076268	1629990087951	1629990373695	297427	283643		40.3	0.3	88276992.0	315367424.0	88276992.0	377061376.0	515691529.0	2416775820.0	2973.0	18557.0	530360556.0	2416773498.0	265043.0	2849.0	/scratch1/btsheal/work/95/bdf5fb9a738e10b11e62667e9f4a95			SRX2899201	641489111
8690	3401890.pbs02	fastq_dump	SRX4170009	fastq_dump (SRX4170009)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630016911976	1630016919054	1630016946440	34464	22315		42.3	0.2	61489152.0	109838336.0	61489152.0	109854720.0	49429251.0	383111221.0	1431.0	3041.0	64098295.0	383108904.0	27692.0	272.0	/scratch1/btsheal/work/95/e8048e4a30e8cfbeaebd58a26bd74a			SRX4170009	46897165
9121	3402302.pbs02	fastq_dump	SRX1604107	fastq_dump (SRX1604107)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630018535663	1630018542542	1630018577775	42112	27325		65.8	0.2	71344128.0	188055552.0	72957952.0	248623104.0	148790719.0	720488970.0	1472.0	5615.0	163463861.0	720486650.0	41462.0	547.0	/scratch1/btsheal/work/95/ed80a128ec0e5cde5771891f62d5ca			SRX1604107	146253179
6818	3398580.pbs02	fastq_dump	SRX4170095	fastq_dump (SRX4170095)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630009804695	1630009815079	1630009857743	53048	30485		43.8	0.2	65187840.0	181944320.0	65187840.0	244137984.0	61110128.0	476513720.0	1491.0	3754.0	75779132.0	476511398.0	40492.0	485.0	/scratch1/btsheal/work/96/4dc4d610414bf6fe7340575f6fa3fd			SRX4170095	58578249
9295	3402466.pbs02	fastq_dump	SRX4171173	fastq_dump (SRX4171173)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630019202313	1630019212872	1630019227880	25567	15446		65.8	0.2	63827968.0	181542912.0	63827968.0	248668160.0	54158225.0	369733696.0	1426.0	2939.0	68827248.0	369731374.0	19061.0	396.0	/scratch1/btsheal/work/96/8bf473a799c0fd9df498bb010d7af9			SRX4171173	51626101
3690	3394572.pbs02	fastq_dump	SRX3660692	fastq_dump (SRX3660692)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629997925077	1629997928725	1629998293222	368145	348567		43.7	0.2	66015232.0	182968320.0	72921088.0	243384320.0	855097421.0	6432560024.0	5091.0	49195.0	869766438.0	6432557694.0	321595.0	2677.0	/scratch1/btsheal/work/96/d6d562dd5d78fb19e6694deddcdcae			SRX3660692	852579992
