task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	fastq_lines	sample_id
5210	3396710.pbs02	fastq_merge	SRX2026163	fastq_merge (SRX2026163)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630003673355	1630003686140	1630004074460	401105	389074		19.8	0.0	8515584.0	20078592.0	8515584.0	20094976.0	38671881671.0	25781190552.0	836178.0	49199.0	25781650047.0	12890595014.0	1802671.0	33.0	/scratch1/btsheal/work/91/25ca117e5968a6f567a06490e8629d			147164788	SRX2026163
4456	3395414.pbs02	fastq_merge	SRX083174	fastq_merge (SRX083174)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630000831244	1630000840925	1630000892357	61113	49967		23.9	0.0	8409088.0	20078592.0	8409088.0	20094976.0	5016478450.0	3344255070.0	108663.0	6405.0	3344714576.0	1672127280.0	239271.0	4.0	/scratch1/btsheal/work/91/64c5b6105c42c49af6442a15608576			23223652	SRX083174
1318	3391135.pbs02	fastq_merge	SRX398815	fastq_merge (SRX398815)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629988910152	1629988925063	1629988975057	64905	45599		10.3	0.0	8605696.0	20078592.0	8605696.0	20094976.0	2611077966.0	1740654745.0	56667.0	3347.0	1741114244.0	870327114.0	117217.0	2.0	/scratch1/btsheal/work/91/7ba7086fe655fe10daf0bc9ede06b2			11936232	SRX398815
8305	3401201.pbs02	fastq_merge	SRX2539479	fastq_merge (SRX2539479)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630015441179	1630015497409	1630015971108	529929	472173		17.2	0.0	8663040.0	20082688.0	8663040.0	20099072.0	46604197632.0	31069399499.0	1007664.0	59289.0	31069863035.0	15534699460.0	1881422.0	16.0	/scratch1/btsheal/work/91/7f9dd1bce3e20c89b328c23426e49d			180627616	SRX2539479
1931	3391823.pbs02	fastq_merge	SRX2095261	fastq_merge (SRX2095261)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629991174789	1629991182725	1629991431703	256914	247683		22.6	0.0	8491008.0	20078592.0	8491008.0	20094976.0	25171128077.0	16780688148.0	544338.0	32033.0	16781147643.0	8390343812.0	1031790.0	11.0	/scratch1/btsheal/work/91/8d3c60bb332f4d20adacbb32576f1e			134067780	SRX2095261
3591	3393954.pbs02	fastq_merge	SRX3405386	fastq_merge (SRX3405386)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629997521561	1629997532688	1629998004261	482700	464767		6.2	0.0	8728576.0	20082688.0	8728576.0	20099072.0	20411940987.0	13607895072.0	441472.0	25981.0	13608354515.0	6803947248.0	746652.0	47.0	/scratch1/btsheal/work/92/a82464e6f7169764b780a548c53404			71714064	SRX3405386
4247	3395218.pbs02	fastq_merge	SRX2435497	fastq_merge (SRX2435497)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630000033333	1630000047060	1630000216551	183218	161835		5.4	0.0	8646656.0	20078592.0	8646656.0	20094976.0	5294260682.0	3529443232.0	114667.0	6757.0	3529902735.0	1764721358.0	233137.0	120.0	/scratch1/btsheal/work/93/be0884536ff79a610e003247ffd39f			29084680	SRX2435497
1958	3391856.pbs02	fastq_merge	SRX2248320	fastq_merge (SRX2248320)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629991269111	1629991288020	1629991841636	572525	557510		5.4	0.0	8675328.0	20082688.0	8675328.0	20099072.0	20084399121.0	13389534061.0	434391.0	25568.0	13389993443.0	6694766712.0	719834.0	91.0	/scratch1/btsheal/work/94/2148d6539c8ac7eab0d41c829599b0			76653140	SRX2248320
4549	3395505.pbs02	fastq_merge	SRX868597	fastq_merge (SRX868597)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630001171767	1630001178641	1630002088582	916815	908523		15.2	0.0	8957952.0	20082688.0	8957952.0	20099072.0	66317648469.0	44211700059.0	1433798.0	84353.0	44212159496.0	22105849740.0	2720102.0	15.0	/scratch1/btsheal/work/94/647a512a0a4a027a71bad8db310a53			267698624	SRX868597
3589	3393951.pbs02	fastq_merge	SRX3345219	fastq_merge (SRX3345219)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629997508702	1629997517751	1629997901490	392788	381375		8.6	0.0	8863744.0	20078592.0	8863744.0	20094976.0	14311698768.0	9541068617.0	309595.0	18225.0	9541528119.0	4770534050.0	588441.0	600.0	/scratch1/btsheal/work/94/74d819b2f9a030c9c57ac8f71560d8			82720680	SRX3345219
