task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
1946	1340093	read_sample_file	SRX1166231.sample.csv	read_sample_file (SRX1166231.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629991092823	1629991092898	1629991104348	11525	65		27.3	0.0	0.0	0.0	0.0	0.0	54991.0	259.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/f1/a60b5144b0310a58ccb469cbc301c8		
6162	1447389	read_sample_file	SRX547493.sample.csv	read_sample_file (SRX547493.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630007205182	1630007205219	1630007211761	6579	29		32.0	0.0	0.0	0.0	0.0	0.0	54990.0	258.0	124.0	13.0	301192.0	0.0	0.0	0.0	/scratch1/btsheal/work/f1/dc17d053dce4d5e1c850dcc296e8ed		
1684	1333297	read_sample_file	SRX2510418.sample.csv	read_sample_file (SRX2510418.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629989988398	1629989988477	1629990005101	16703	27		32.0	0.0	0.0	0.0	0.0	0.0	54991.0	259.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/f2/29d9b5255398d101f4724a98d8b5f0		
5432	1429373	read_sample_file	SRX1478164.sample.csv	read_sample_file (SRX1478164.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630004488123	1630004498129	1630004498131	10008	57		25.8	0.0	0.0	0.0	0.0	0.0	55028.0	293.0	124.0	13.0	301228.0	0.0	0.0	0.0	/scratch1/btsheal/work/f2/6628088e36feb0d50f59fa87a10599		
9636	1535665	read_sample_file	SRX823580.sample.csv	read_sample_file (SRX823580.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630020423646	1630020423739	1630020430466	6820	28		37.0	0.0	0.0	0.0	0.0	0.0	54993.0	258.0	124.0	13.0	301192.0	0.0	0.0	0.0	/scratch1/btsheal/work/f2/6d94cc1e46b22d3eb895e8aac0414a		
7827	1490617	read_sample_file	SRX3646732.sample.csv	read_sample_file (SRX3646732.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630013522115	1630013522189	1630013528285	6170	24		33.3	0.0	0.0	0.0	0.0	0.0	54995.0	260.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/f2/733da1b33ca965f5f2ffecc63d8538		
3830	1388260	read_sample_file	SRX3203982.sample.csv	read_sample_file (SRX3203982.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629998302212	1629998307598	1629998319385	17173	24		22.2	0.0	0.0	0.0	0.0	0.0	54994.0	259.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/f2/8048fc2b79855b87416fa5c1220349		
1589	1330547	read_sample_file	SRX465430.sample.csv	read_sample_file (SRX465430.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629989612038	1629989612124	1629989613119	1081	49		38.1	0.0	0.0	0.0	0.0	0.0	55011.0	280.0	124.0	13.0	301214.0	0.0	0.0	0.0	/scratch1/btsheal/work/f2/d0f6fbe2f932f2840f93f9c1066197		
6380	1452335	read_sample_file	SRX130139.sample.csv	read_sample_file (SRX130139.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630007976771	1630007982364	1630007988583	11812	26		23.5	0.0	0.0	0.0	0.0	0.0	54991.0	257.0	124.0	13.0	301191.0	0.0	0.0	0.0	/scratch1/btsheal/work/f3/04e723d7f7dec580f1ec93a61d447f		
4590	1407296	read_sample_file	SRX2519529.sample.csv	read_sample_file (SRX2519529.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630001118380	1630001118461	1630001129628	11248	31		30.8	0.0	0.0	0.0	0.0	0.0	54995.0	260.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/f3/75457617612e3c45444a4f91a8f7dd		
