task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	n_remote_run_ids	n_spots	sample_id
2499	3392902.pbs02	download_runs	SRX1074747	download_runs (SRX1074747)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629993369102	1629993376383	1629994854413	1485311	1465321		5.0	0.2	52629504.0	105648128.0	52629504.0	105664512.0	5047074523.0	5020634809.0	705470.0	9814.0	41713406.0	5020629123.0	284830.0	757.0	/scratch1/btsheal/work/d1/2d14492f24047aad09058f81345c53			1	36822713	SRX1074747
7096	3398848.pbs02	download_runs	SRX3464879	download_runs (SRX3464879)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630010844651	1630010855814	1630010921265	76614	61337		6.3	0.2	56561664.0	111296512.0	56561664.0	111312896.0	123125137.0	105369986.0	18869.0	438.0	41709641.0	105364307.0	25902.0	204.0	/scratch1/btsheal/work/d1/f425cce1f5aa785c4fa2829c4eb549			1	4103736	SRX3464879
6656	3398402.pbs02	download_runs	SRX2248410	download_runs (SRX2248410)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630009205024	1630009217946	1630009659973	454949	439614		4.1	0.2	54013952.0	107212800.0	54013952.0	107229184.0	1136203814.0	1110686536.0	159802.0	2576.0	41713926.0	1110675484.0	62854.0	278.0	/scratch1/btsheal/work/d2/071de0f041116f7ad5dac0374da4b3			2	17344210	SRX2248410
3903	3394793.pbs02	download_runs	SRX3004704	download_runs (SRX3004704)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629998694375	1629998703990	1629998835254	140879	130949		9.6	0.1	53186560.0	106487808.0	53186560.0	106504192.0	700406827.0	681652261.0	91057.0	1538.0	41709483.0	681646583.0	37690.0	212.0	/scratch1/btsheal/work/d2/44e332928be17b0672b064cc58213c			1	20148594	SRX3004704
1449	3391264.pbs02	download_runs	SRX1671197	download_runs (SRX1671197)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629989369305	1629989381652	1629989882466	513161	498010		4.9	0.1	46272512.0	97591296.0	46272512.0	97607680.0	1567342469.0	1547054719.0	220222.0	3188.0	41710211.0	1547049033.0	95508.0	196.0	/scratch1/btsheal/work/d2/66b4d31b549a089f9fb46e66f747b9			1	11343368	SRX1671197
1799	3391675.pbs02	download_runs	SRX2752577	download_runs (SRX2752577)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629990608320	1629990652230	1629990719602	111282	70518		12.0	0.2	55582720.0	109682688.0	55582720.0	109699072.0	461087997.0	442731799.0	64424.0	1082.0	41729904.0	442726121.0	22582.0	208.0	/scratch1/btsheal/work/d2/a284347a9a842eec22d2fffa749409			1	18665711	SRX2752577
7717	3399928.pbs02	download_runs	SRX2656555	download_runs (SRX2656555)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630013213085	1630013224062	1630013647095	434010	413474		6.8	0.2	58638336.0	113233920.0	58638336.0	113250304.0	2082487428.0	2061268095.0	278830.0	4169.0	41711102.0	2061262409.0	98488.0	193.0	/scratch1/btsheal/work/d2/e13a9a514a52d1c5c4d86542f5a86d			1	14546815	SRX2656555
2688	3393098.pbs02	download_runs	SRX264521	download_runs (SRX264521)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629994080188	1629994094194	1629994170694	90506	66414		6.4	0.2	63119360.0	117706752.0	63119360.0	117723136.0	57616013.0	39996369.0	9987.0	314.0	41709889.0	39990707.0	28563.0	203.0	/scratch1/btsheal/work/d3/2d7aa7c1531b9d97c23ff1b2e84ecd			1	1472702	SRX264521
6402	3398144.pbs02	download_runs	SRX2784058	download_runs (SRX2784058)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630008257516	1630008267148	1630008487821	230305	213733		3.7	0.2	47030272.0	99454976.0	47030272.0	99475456.0	1028031705.0	1008678129.0	157147.0	2161.0	41709769.0	1008672448.0	74875.0	201.0	/scratch1/btsheal/work/d3/83e5042f38ef16664a9778c8d8b5a7			1	16362296	SRX2784058
2526	3392936.pbs02	download_runs	SRX384149	download_runs (SRX384149)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629993483996	1629993493932	1629993958153	474157	463299		6.4	0.2	58703872.0	113512448.0	58703872.0	113528832.0	2300804510.0	2261243990.0	322751.0	5209.0	41717577.0	2261222199.0	138227.0	220.0	/scratch1/btsheal/work/d3/9f6a98eaae45613efc032bb1350f74			4	65108429	SRX384149
