task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	fastq_lines	index_bytes	sample_id
4717	3395661.pbs02	kallisto	ERX2297595	kallisto (ERX2297595)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630001815773	1630001822519	1630002098937	283164	274289		207.3	3.5	1779056640.0	2215858176.0	1779056640.0	2282999808.0	100798700652.0	33277404634.0	4244428.0	111928.0	66557227462.0	2438911.0	2419105.0	54.0	/scratch1/btsheal/work/45/ed968922f46f7fe3f611499562465c			361581608	973695034	ERX2297595
8702	3401900.pbs02	kallisto	SRX465458	kallisto (SRX465458)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630016954554	1630016961546	1630017066663	112109	104594		52.6	1.8	1808531456.0	2233008128.0	1809752064.0	2297466880.0	9228480155.0	2753713458.0	460204.0	53706.0	6484116082.0	2153980.0	299880.0	73.0	/scratch1/btsheal/work/46/5b46620c1c40eb7bacb1d63249cb90			55367072	973695034	SRX465458
3306	3393680.pbs02	kallisto	SRX2683634	kallisto (SRX2683634)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1629996449429	1629996456731	1629996476679	27250	20359		148.9	3.5	1790013440.0	2219028480.0	1790013440.0	2219061248.0	4962551739.0	1331840134.0	283913.0	50996.0	2666461546.0	2257374.0	88325.0	61.0	/scratch1/btsheal/work/46/be0ff70c48fa6cd4963257feeefb44			29743896	973695034	SRX2683634
8671	3401871.pbs02	kallisto	SRX4171022	kallisto (SRX4171022)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630016840183	1630016846458	1630016858487	18304	12910		116.1	0.7	1794592768.0	2222174208.0	1794592768.0	2222206976.0	2375527401.0	469233045.0	176999.0	49349.0	941778517.0	1991801.0	27606.0	90.0	/scratch1/btsheal/work/46/e09074ff0b826e67220beac1ec9c9f			7990640	973695034	SRX4171022
5219	3396719.pbs02	kallisto	SRX398754	kallisto (SRX398754)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630003710011	1630003719560	1630003744525	34514	24327		83.6	3.5	1773318144.0	2156675072.0	1786265600.0	2285641728.0	2010440583.0	347461646.0	161912.0	49117.0	1672088962.0	1915735.0	26018.0	50.0	/scratch1/btsheal/work/48/8d708900d2d1c3fb8e9ce2ac336d23			4758408	973695034	SRX398754
8019	3400226.pbs02	kallisto	SRX398804	kallisto (SRX398804)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630014371118	1630014378149	1630014392996	21878	15941		218.7	0.7	1785958400.0	2219028480.0	1785958400.0	2219061248.0	3554380037.0	861918362.0	225716.0	50098.0	1727680226.0	1726256.0	64950.0	49.0	/scratch1/btsheal/work/48/ac9180bb94ad9a4db00bd9e82d858d			11798792	973695034	SRX398804
4032	3394921.pbs02	kallisto	SRX3660692	kallisto (SRX3660692)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1629999204573	1629999211878	1629999268041	63468	56937		159.3	3.5	1794318336.0	2222174208.0	1794318336.0	2222206976.0	20271465323.0	6434797384.0	916565.0	60727.0	12872403897.0	2243436.0	445661.0	52.0	/scratch1/btsheal/work/48/dc123104547a7f479d1f63d0e74b53			102060904	973695034	SRX3660692
5281	3396786.pbs02	kallisto	SRX860946	kallisto (SRX860946)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630003926094	1630003935214	1630005330865	1404771	1393841		62.9	3.5	1784049664.0	2215858176.0	1784049664.0	2215890944.0	162748392938.0	53927335805.0	6804553.0	151314.0	108830723856.0	2472446.0	4127831.0	51.0	/scratch1/btsheal/work/49/5f85a7410af45801fb0bb92f23e4ed			588261912	973695034	SRX860946
4216	3395167.pbs02	kallisto	SRX2435618	kallisto (SRX2435618)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1629999932367	1629999940371	1629999955348	22981	15544		119.7	3.2	1641365504.0	1656164352.0	1641365504.0	1656197120.0	2862661609.0	631655983.0	197130.0	49658.0	2240235877.0	2036607.0	30936.0	53.0	/scratch1/btsheal/work/4a/0985d00661e6a1f049277fa9f69e07			10486936	973695034	SRX2435618
6418	3398165.pbs02	kallisto	SRX1882491	kallisto (SRX1882491)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630008321485	1630008332126	1630008527815	206330	193669		46.7	3.5	1794318336.0	2222174208.0	1794318336.0	2288263168.0	13716056674.0	4249637152.0	645657.0	56559.0	8502131901.0	2219211.0	324491.0	45.0	/scratch1/btsheal/work/4a/5103f9a9666e62dec9d47b78cf15fe			68592852	973695034	SRX1882491
6288	3398025.pbs02	kallisto	ERX534181	kallisto (ERX534181)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630007809993	1630007823634	1630007899182	89189	69290		74.4	3.5	1785675776.0	2219028480.0	1785675776.0	2219061248.0	7975587240.0	2336092126.0	408426.0	52909.0	4675152278.0	2163995.0	155653.0	50.0	/scratch1/btsheal/work/4a/54a0372b5acb2e16c2de4489de199a			28981756	973695034	ERX534181
